dataset,seed,pca_components,weight_cosine_shared_pc,split_half_cosine_letter,split_half_cosine_digit,heldout_prediction_pearson,heldout_prediction_spearman
truthfulqa,0,49,0.06021209982528412,-0.11048104529137084,-0.15569910377774393,0.20303724460676353,0.10966381060825818
truthfulqa,1,49,0.14780559985712083,0.3925302613642327,-0.04992592460865588,0.17255359936924097,0.18390031648994895
truthfulqa,2,49,0.12345689813471547,-0.08115215832039525,0.14925214461112815,0.2505913426184223,0.2071648821713548
pavlick_nli,0,29,0.17962341220954609,0.428870656095785,0.09334363447476923,0.3323361378053343,0.3272407260112283
pavlick_nli,1,29,0.13732003435976312,0.2165197309152947,0.04927187634532367,0.38811237747324917,0.40582778528854085
pavlick_nli,2,29,0.18852880429020116,-0.30837478000230256,0.1485596158585151,0.33997686997690146,0.3676025103211798
