model,dataset,fold,readout,flip_mean,flip_sd,AURC_letter,AURC_numeric
llama3_8b,pavlick_nli,test,V_neg,0.08807558060627156,0.045443874678106386,0.44409376381149396,0.35601818320522244
llama3_8b,pavlick_nli,test,V_pos,-0.0036023811588672405,0.046241362446124035,0.3340865571724632,0.33768893833133046
llama3_8b,pavlick_nli,test,minus_V_neg,-0.17070607526713663,0.02183846459466592,0.4240893659589717,0.5947954412261084
llama3_8b,pavlick_nli,test,gap,-0.3036640251707539,0.051957867582324097,0.24703249922977752,0.5506965244005314
llama3_8b,pavlick_nli,train,V_neg,0.13044688379508276,0.025639741377545915,0.4849094672469266,0.3544625834518438
llama3_8b,pavlick_nli,train,V_pos,0.05790508455227065,0.027628566922143626,0.39235068675159296,0.33444560219932234
llama3_8b,pavlick_nli,train,minus_V_neg,-0.21398040305098523,0.00874636976900287,0.3734387958546424,0.5874191989056277
llama3_8b,pavlick_nli,train,gap,-0.2850044642554131,0.03803883149813353,0.27613507691197436,0.5611395411673875
llama3_8b,truthfulqa,test,V_pos,0.11988160060347537,0.02621226786105444,0.5634479389812426,0.4435663383777671
llama3_8b,truthfulqa,test,gap,0.11753966466918148,0.0037881626950249585,0.519694457456542,0.40215479278736055
llama3_8b,truthfulqa,test,minus_V_neg,0.08365052612184994,0.02670986138570109,0.5399765011800476,0.45632597505819766
llama3_8b,truthfulqa,test,V_neg,-0.06813174635477182,0.02393988192498702,0.6148377171927074,0.6829694635474791
llama3_8b,truthfulqa,train,V_pos,0.11779779334432576,0.019619746052518663,0.5421709723308955,0.42437317898656984
llama3_8b,truthfulqa,train,gap,0.08912537227329796,0.0011597453855566354,0.48474971247909776,0.3956243402057998
llama3_8b,truthfulqa,train,minus_V_neg,0.04451790728274324,0.018128615908245497,0.5009222734509876,0.4564043661682444
llama3_8b,truthfulqa,train,V_neg,-0.05174973839454774,0.01491219930102815,0.6123459459289848,0.6640956843235326
