signal,requested_k,effective_k,alpha,n_test,coverage,coverage_wilson95,mean_set_size,empty_rate,singleton_rate,full_set_rate,worst_observed_cell_coverage,full_set_fallback_cells,min_calibration_cell_count
q,1,1,0.1,10647,0.9050436742744435,"[0.8993282646353215, 0.9104669082011915]",1.1492439184746877,0.0,0.8507560815253123,0.1492439184746877,0.9050436742744435,0,10597
q,2,2,0.1,10647,0.9040105193951348,"[0.8982684916180824, 0.9094611167196008]",1.168310322156476,0.03108856955010801,0.7695125387433079,0.199398891706584,0.9032389488694235,0,4869
q,4,4,0.1,10647,0.9019442096365173,"[0.8961495367415068, 0.9074489425985178]",1.1729125575279422,0.02977364515826054,0.7675401521555367,0.2026862026862027,0.8952648475120385,0,2359
q,8,8,0.1,10647,0.903728749882596,"[0.897979497095425, 0.9091867754698503]",1.1776087160702546,0.02611064149525688,0.7701700009392317,0.2037193575655114,0.8885767790262172,0,1080
q,16,16,0.1,10647,0.9027895181741336,"[0.8970162876382943, 0.9082721990189544]",1.1790175636329483,0.026392411007795623,0.7681976143514605,0.20540997464074387,0.8601694915254238,0,474
qa,1,1,0.1,10647,0.9050436742744435,"[0.8993282646353215, 0.9104669082011915]",1.1492439184746877,0.0,0.8507560815253123,0.1492439184746877,0.9050436742744435,0,10597
qa,2,2,0.1,10647,0.9046679815910585,"[0.8989428695400407, 0.9101011889332614]",1.1961115807269653,0.03334272565041796,0.7372029679721988,0.2294543063773833,0.9040013738622703,0,4736
qa,4,4,0.1,10647,0.9042922889076735,"[0.8985575008669509, 0.9097354432431406]",1.2223161453930684,0.034563726871419176,0.7085564008640932,0.25687987226448766,0.8988593155893536,0,2343
qa,8,8,0.1,10647,0.906358598666291,"[0.9006773575811653, 0.9117467155265848]",1.2148022917253687,0.03287310979618672,0.719451488682258,0.24767540152155537,0.8870151770657673,0,754
qa,16,16,0.1,10647,0.9018502864656711,"[0.8960532390650346, 0.9073574616841873]",1.228984690523152,0.034751573213111675,0.7015121630506246,0.26373626373626374,0.8800705467372134,0,299
