model,dataset,fold,margin_bin,n,n_excluded,D_mean,H_norm_pos_mean,H_norm_neg_mean,H_norm_pair_mean
llama3_8b,pavlick_nli,train,"low_[0,10)",53,443,0.1828695130798052,0.9315821628676494,0.9327153669517344,0.932148764909692
llama3_8b,pavlick_nli,train,"mid_[10,25)",79,417,0.18892049034939537,0.9305692131275268,0.932169231386454,0.9313692222569905
llama3_8b,pavlick_nli,train,"high_[25,inf)",166,330,0.184831457683839,0.9320115277303914,0.9388263616185538,0.9354189446744726
mistral_7b,pavlick_nli,train,"low_[0,10)",53,443,0.011727957230693888,0.9213290593581058,0.9201347210450445,0.920731890201575
mistral_7b,pavlick_nli,train,"mid_[10,25)",79,417,0.014920171303085135,0.9196696239264821,0.9266393197430562,0.923154471834769
mistral_7b,pavlick_nli,train,"high_[25,inf)",166,330,0.020313540496021867,0.9248366015197206,0.9122923242708357,0.918564462895278
qwen2_5_7b,pavlick_nli,train,"low_[0,10)",53,443,0.769814837653682,0.3838173128475905,0.36295245671499876,0.3733848847812948
qwen2_5_7b,pavlick_nli,train,"mid_[10,25)",79,417,0.7686008516746231,0.3613482520456646,0.3898290708035099,0.3755886614245873
qwen2_5_7b,pavlick_nli,train,"high_[25,inf)",166,330,0.8634734929326069,0.2366977205753582,0.30838604198178743,0.2725418812785728
