model,dataset,n_alt,abs_delta_pos_mean,abs_delta_neg_mean,base_gap_mean,base_abs_gap_mean,abs_gap_shift_mean,gap_noise_over_abs_mean_effect,gap_noise_over_mean_abs_gap,gap_shift_sd,common_mode_corr,common_mode_same_sign_rate,orig_gap_delta_aurc_mean,orig_gap_delta_aurc_sd,alt_gap_delta_aurc_mean,alt_gap_delta_aurc_sd,alt_gap_positive_seeds
llama3_8b,pavlick_nli,496,0.05408039052159556,0.06342248137920134,0.005132859753024193,0.008382281468760583,0.06355310003122976,12.381616309268017,7.581837983857016,0.06742114470040883,-0.08642606382312007,0.8306451612903226,-0.07463889098519715,0.005891905514134159,0.05891165370600443,0.002716589577817799,3
llama3_8b,truthfulqa,500,0.08869974344968795,0.08749729114770889,0.01009123820066452,0.03911802536249161,0.039787620186805726,3.942788723804544,1.0171172961341797,0.05228915915782044,0.6853922657917698,0.91,-0.04618141225254544,0.01426263938440485,-0.01858797681966486,0.019880624253171903,1
mistral_7b,pavlick_nli,496,0.2752785198991337,0.2233602945362368,0.03507566241727721,0.11518023830027349,0.12056194876711215,3.4371966331768258,1.0467242518877988,0.12704376580493684,-0.06182481132985564,0.9959677419354839,-0.056749032227364125,0.02568204634259911,-0.05534634540732151,0.019762154488328694,0
mistral_7b,truthfulqa,500,0.28085945296287534,0.2609178386926651,-0.02319223815202713,0.04743000072240829,0.09850195181369782,4.247194736791205,2.076785796192506,0.1318970688514847,0.4344025637414107,0.952,-0.049194259584071885,0.012800219559224467,0.06396007807086072,0.02711636797505765,3
qwen2_5_7b,pavlick_nli,496,0.08841940736578356,0.07214062994406108,0.017809086869801243,0.09022793906830973,0.1097142328357985,6.160575982244223,1.2159674039848798,0.13099703788073158,0.17434568279953477,0.6189516129032258,-0.0065462511564078575,0.01524743429329334,-0.1419554277809835,0.017651336657291735,0
qwen2_5_7b,truthfulqa,500,0.14342459350824355,0.14314202358573674,0.034784576430916786,0.17140259750187398,0.17309274538606406,4.976134918009752,1.0098606900293423,0.2753342789751729,0.17102187028934365,0.74,0.11028992510763523,0.0475653265598659,0.032421030518394546,0.06581447761709616,2
