model,dataset,fold,pooling,n,n_excluded,n_crossfit_folds,chance_aurc,rho_norm_abs_ntok_delta,norm_aurc,norm_negated_aurc,residual_norm_aurc,residual_norm_negated_aurc
llama3_8b,truthfulqa,train_crossfit,mean,491,326,5,0.5743380855397149,0.3559873017272595,0.6606651845385222,0.5000617865128655,0.6488400887534664,0.511136249138834
mistral_7b,truthfulqa,train_crossfit,mean,491,326,5,0.515274949083503,0.3506583893619883,0.6277075541186817,0.4295736615885929,0.6139309972964276,0.43739353980365114
qwen2_5_7b,truthfulqa,train_crossfit,mean,491,326,5,0.5010183299389002,0.37512072993308765,0.6006466804195096,0.42313718543583456,0.5900838619232395,0.4394337316666992
