model,dataset,AURC_q,AURC_report_gap,delta_AURC_report,delta_AURC_report_sd,effective_bins,max_bin_mass,measurable,outcome
llama3_8b,pavlick_nli,0.17239823324920536,0.2470371242344025,-0.07463889098519715,0.005891905514134161,1.0676162390060882,0.9879032258064516,False,not_measurable
llama3_8b,truthfulqa,0.48132582267350804,0.5196944574565423,-0.038368634783034185,0.023067159702061312,4.48696102146538,0.44430844553243576,True,does_not_improve
mistral_7b,pavlick_nli,0.10144372347951809,0.1581927557068822,-0.056749032227364125,0.02568204634259911,7.388410459230447,0.2560483870967742,True,does_not_improve
mistral_7b,truthfulqa,0.4016897318933023,0.4658152383619509,-0.06412550646864856,0.003847352074668487,4.891409758313021,0.38555691554467564,True,does_not_improve
qwen2_5_7b,pavlick_nli,0.050714748518027736,0.0572609996744356,-0.0065462511564078575,0.01524743429329334,9.626390833994494,0.2842741935483871,True,does_not_improve
qwen2_5_7b,truthfulqa,0.41423408489788116,0.3054016255141094,0.10883245938377184,0.04598161683717485,11.588393082951912,0.43818849449204406,True,improves
