model,dataset,fold,pooling,n,n_excluded,n_crossfit_folds,base_rate,chance_aurc,full_aurc,full_negated_aurc,cosine_aurc,cosine_negated_aurc,norm_aurc,norm_negated_aurc,degenerate_pairs
llama3_8b,truthfulqa,train_crossfit,first,491,326,5,0.4256619144602851,0.5743380855397149,0.6006857080000018,0.5232827131936648,0.6043792819499683,0.519037972723165,0.5944576318041058,0.5654397001827619,139
llama3_8b,truthfulqa,train_crossfit,mean,491,326,5,0.4256619144602851,0.5743380855397149,0.623847128565831,0.5202213530975467,0.574801298749354,0.5284054824431001,0.6606651845385222,0.5000617865128655,0
mistral_7b,truthfulqa,train_crossfit,first,491,326,5,0.4847250509164969,0.515274949083503,0.5613028178880782,0.4875840509601423,0.5551206968960654,0.48339203167552447,0.5988141926635656,0.43797724534839555,148
mistral_7b,truthfulqa,train_crossfit,mean,491,326,5,0.4847250509164969,0.515274949083503,0.569423943421584,0.4761514877457135,0.5049769156405617,0.4911152961863965,0.6277075541186817,0.4295736615885929,0
qwen2_5_7b,truthfulqa,train_crossfit,first,491,326,5,0.4989816700610998,0.5010183299389002,0.5077013827794291,0.4677678419917007,0.5041102222884863,0.4774878073718865,0.5416027866733634,0.44838466292357737,148
qwen2_5_7b,truthfulqa,train_crossfit,mean,491,326,5,0.4989816700610998,0.5010183299389002,0.5354861388805658,0.4676436643198129,0.47970395450138875,0.4793178262664402,0.6006466804195096,0.42313718543583456,0
