model,dataset,fold,n,n_excluded,n_crossfit_folds,rho_sum_sq,rho_sum_sq_ci_low,rho_sum_sq_ci_high,partial_rho_sum_sq,partial_rho_ci_low,partial_rho_ci_high,controls,rho_sum_mean_H_norm,rho_sum_total_ntok,rho_sum_abs_ntok_difference,label_free,label_note
llama3_8b,pavlick_nli,train_crossfit,298,198,5,-0.041122091603562276,-0.16043596465357848,0.06172932720909204,-0.06616146968099314,-0.18096599720634837,0.04147824162256051,"mean_H_norm,total_ntok,abs_ntok_difference",-0.6626660309181465,,,False,s_q is supervised against cached model-preference target c
mistral_7b,pavlick_nli,train_crossfit,298,198,5,0.08546532415805833,-0.02418036872727445,0.18956712338486972,-0.043096862628404474,-0.15606556528002322,0.06977771135408263,"mean_H_norm,total_ntok,abs_ntok_difference",-0.511848071521255,,,False,s_q is supervised against cached model-preference target c
qwen2_5_7b,pavlick_nli,train_crossfit,298,198,5,0.4221930195084557,0.3297312613162677,0.5054666414983249,-0.013306746408770526,-0.12577632034171413,0.09900320330498721,"mean_H_norm,total_ntok,abs_ntok_difference",-0.9491088297624626,,,False,s_q is supervised against cached model-preference target c
