model,dataset,fold,n,n_excluded,V_pos_mean,V_neg_mean,V_gap_mean,V_wilcoxon_p,H_norm_pos_mean,H_norm_neg_mean,H_norm_gap_mean,H_norm_wilcoxon_p,status
llama3_8b,pavlick_nli,train,298,0,0.5953584313392639,0.5902080535888672,0.00515039311721921,1.2933212910137788e-18,0.9315528056117617,0.9359746971699723,-0.0044218915582105375,9.466904583857766e-14,cached
llama3_8b,truthfulqa,train,491,0,0.6561698317527771,0.6470791697502136,0.009090641513466835,5.294335217969122e-05,0.8872371413972661,0.8981542684321604,-0.01091712703489444,1.9152325171013246e-07,cached
mistral_7b,pavlick_nli,train,298,0,0.526792049407959,0.4905647337436676,0.036227334290742874,9.850264404595983e-09,0.9228430076793467,0.9174905110874079,0.005352496591938758,0.054092262683495616,cached
mistral_7b,truthfulqa,train,491,0,0.5124931335449219,0.5314878225326538,-0.018994655460119247,5.599145046259129e-13,0.9202052544916351,0.9247961603286667,-0.0045909058370315475,3.5632544467475724e-05,cached
qwen2_5_7b,pavlick_nli,train,298,0,0.92055344581604,0.9011119604110718,0.01944153755903244,0.0243304227611067,0.2959082251947627,0.33968140861862056,-0.04377318342385792,3.7951420298815506e-06,cached
qwen2_5_7b,truthfulqa,train,491,0,0.8925655484199524,0.8611072301864624,0.031458333134651184,4.326685180865782e-08,0.14909817526821068,0.21544927099896766,-0.06635109573075704,1.1885178962158307e-15,cached
