model,dataset,fold,pooling,n,n_excluded,base_rate,chance_aurc,aurc_oriented,aurc_negated,degenerate_pairs_all,degenerate_pairs_train,degenerate_pairs_test,degenerate_fraction_all
llama3_8b,truthfulqa,test,first,326,491,0.43558282208588955,0.5644171779141104,0.5861009070604238,0.519639928597935,229,139,90,0.2802937576499388
llama3_8b,truthfulqa,test,mean,326,491,0.43558282208588955,0.5644171779141104,0.5973792563737583,0.5241487701337031,0,0,0,0.0
mistral_7b,truthfulqa,test,first,326,491,0.4754601226993865,0.5245398773006135,0.5568186939026336,0.5143194539483336,249,148,101,0.3047735618115055
mistral_7b,truthfulqa,test,mean,326,491,0.4754601226993865,0.5245398773006135,0.5774096796867724,0.4979750290211066,0,0,0,0.0
qwen2_5_7b,truthfulqa,test,first,326,491,0.48773006134969327,0.5122699386503068,0.5325595832793821,0.4563316827624198,240,148,92,0.2937576499388005
qwen2_5_7b,truthfulqa,test,mean,326,491,0.48773006134969327,0.5122699386503068,0.5370381572451637,0.47891204352717637,0,0,0,0.0
