model,dataset,fold,n,n_excluded,rho_D_margin,rho_D_margin_ci_low,rho_D_margin_ci_high,rho_H_margin,rho_H_margin_ci_low,rho_H_margin_ci_high,rho_D_H,rho_D_H_ci_low,rho_D_H_ci_high,partial_rho_D_margin_given_H,partial_rho_D_margin_given_H_ci_low,partial_rho_D_margin_given_H_ci_high
llama3_8b,pavlick_nli,train,298,198,0.004942015155029453,-0.11188006980423908,0.11224341890100162,0.11831066835443842,0.008936412073653274,0.22573931911112466,-0.6626660309181465,-0.7271686541310137,-0.5889157159690875,0.11207140651985385,-0.010929070911322279,0.2231246480879144
mistral_7b,pavlick_nli,train,298,198,0.050640634533251974,-0.066554527895561,0.16277228913979971,-0.08927437377977208,-0.2046835879226981,0.022287806477677138,-0.511848071521255,-0.601837717877791,-0.40744175763024926,0.005780100504730081,-0.11111050377063525,0.12213044680443126
qwen2_5_7b,pavlick_nli,train,298,198,0.4446382978626923,0.34802955007032227,0.5332908852037016,-0.4801581390434615,-0.5629648367512333,-0.3904884559516203,-0.9491088297624626,-0.964155022995213,-0.9259531323172112,-0.0401207283262113,-0.15682456969991715,0.07706023914699692
