model,dataset,balance,n,cos_dq_da,cos_da_answer_identity,split_half_rq_mean,split_half_ra_mean,split_half_ceiling_mean,split_half_ceiling_p025,split_half_ceiling_p975,fraction_of_ceiling,permutation_null_mean,permutation_null_p025,permutation_null_p975,permutation_p_two_sided
llama3_8b,pavlick_nli,True,496,0.32721590995788574,0.2118293046951294,0.9814109057188034,0.96182766020298,0.971531684707309,0.9461916839210675,0.9846106580762736,0.33680415688806414,0.0014709752624621614,-0.272939582914114,0.28539376333355904,0.00999000999000999
llama3_8b,truthfulqa,True,817,0.2582051753997803,0.7269344925880432,0.2806572072952986,0.6771179085969925,0.4339848421744743,0.2957640929642082,0.5124311392126046,0.5949635800781595,-0.0032329979955102316,-0.10889684539288283,0.10486159101128574,0.000999000999000999
mistral_7b,pavlick_nli,True,496,0.110793337225914,0.7985416650772095,0.8996984839439393,0.9757157516479492,0.9367694814671462,0.8419983869052967,0.9737205391790111,0.11827171936941423,-0.006365580002719071,-0.14208816066384317,0.13387033157050607,0.12187812187812187
mistral_7b,truthfulqa,True,817,0.4188881814479828,0.642444908618927,0.5094504556059838,0.7124841427803039,0.6020138076485848,0.522727676768039,0.6639802593728446,0.6958115845949193,-0.000339280765831063,-0.151912697032094,0.15283098518848418,0.000999000999000999
qwen2_5_7b,pavlick_nli,True,496,0.07475846260786057,0.5767136812210083,0.9489847654104233,0.9843840599060059,0.9664728312412693,0.9237977227588254,0.9824970013263582,0.07735185117603988,-0.0012030297084120322,-0.18261896558105944,0.18356876075267786,0.33466533466533466
qwen2_5_7b,truthfulqa,True,817,0.22851844131946564,0.7504215240478516,0.4334531563520432,0.7102528697252274,0.5542627360174709,0.4543457763512993,0.6205460458971097,0.4122926303172265,-0.0033856976556817246,-0.11895990483462811,0.11739973332732911,0.000999000999000999
