model,dataset,fold,n,n_excluded,u_centroid_equivalence_max_abs,split_half_cosine_mean,split_half_cosine_ci_low,split_half_cosine_ci_high,permutation_null_cosine_mean,permutation_p_one_sided,gate_cleared,test_revealed,base_rate,chance_aurc,representation_aurc,report_aurc,state_channel_aurc
llama3_8b,pavlick_nli,test,198,298,4.0245584642661925e-16,0.7840045277252622,-0.2651540610026532,0.9848326536903851,0.03616490189079839,0.2997002997002997,False,False,,,,,
llama3_8b,truthfulqa,test,326,491,2.914335439641036e-16,0.7925170639033722,0.7112753698970674,0.8474328747675818,0.0039062021453004497,0.000999000999000999,True,True,0.43558282208588955,0.5644171779141104,0.5861009070604238,0.5043109677210341,0.4525684154260896
mistral_7b,pavlick_nli,test,198,298,1.3322676295501878e-15,0.860662675145311,0.2514114085785105,0.993700161349567,0.03830608520296721,0.23576423576423577,False,False,,,,,
mistral_7b,truthfulqa,test,326,491,6.106226635438361e-16,0.779919870530231,0.6820299036655015,0.8339289836083239,0.003485102186634794,0.000999000999000999,True,True,0.4754601226993865,0.5245398773006135,0.5568186939026336,0.4808197151093449,0.38487844315309616
qwen2_5_7b,pavlick_nli,test,198,298,2.6645352591003757e-15,0.8448709041760278,0.2998296738301641,0.9908279357121285,0.0293813561585129,0.16983016983016982,False,False,,,,,
qwen2_5_7b,truthfulqa,test,326,491,9.769962616701378e-15,0.7930996150037469,0.7214447602621319,0.8406356279703425,0.005804453671851851,0.000999000999000999,True,True,0.48773006134969327,0.5122699386503068,0.5325595832793821,0.28993836693532976,0.3582355536262332
