model,dataset,signal,bin_width,n,occupied_bins,max_bin_mass,effective_bins,different_bin_pair_probability,primary_width,measurable
llama3_8b,pavlick_nli,V_pos,0.025,496,6,0.4959677419354839,3.233119828559212,0.6376739724245578,False,True
llama3_8b,pavlick_nli,V_pos,0.05,496,3,0.8185483870967742,1.7939678202281433,0.3108822190426639,True,False
llama3_8b,pavlick_nli,V_pos,0.1,496,3,0.9838709677419355,1.0977200124979223,0.031859716441207,False,False
llama3_8b,pavlick_nli,V_neg,0.025,496,7,0.43951612903225806,3.201020070961822,0.6327718522372529,False,True
llama3_8b,pavlick_nli,V_neg,0.05,496,3,0.782258064516129,1.8436961663094418,0.35200149583766904,True,False
llama3_8b,pavlick_nli,V_neg,0.1,496,3,0.9798387096774194,1.1109552785757122,0.03958279136316334,False,False
llama3_8b,pavlick_nli,V_pos_minus_V_neg,0.025,496,3,0.7681451612903226,1.8572015856376811,0.36624447190426634,False,False
llama3_8b,pavlick_nli,V_pos_minus_V_neg,0.05,496,2,0.9879032258064516,1.0676162390060882,0.023900884495317465,True,False
llama3_8b,pavlick_nli,V_pos_minus_V_neg,0.1,496,1,1.0,1.0,0.0,False,False
llama3_8b,truthfulqa,V_pos,0.025,817,22,0.16401468788249693,10.140635500167969,0.8809703231064482,False,True
llama3_8b,truthfulqa,V_pos,0.05,817,12,0.33047735618115054,5.10442988193822,0.7636080894216983,True,True
llama3_8b,truthfulqa,V_pos,0.1,817,8,0.4749082007343941,2.826359066929039,0.5864156562879688,False,True
llama3_8b,truthfulqa,V_neg,0.025,817,22,0.18604651162790697,10.999577976459893,0.8870258536095725,False,True
llama3_8b,truthfulqa,V_neg,0.05,817,12,0.3317013463892289,5.626204655368392,0.7797581682994026,True,True
llama3_8b,truthfulqa,V_neg,0.1,817,7,0.47368421052631576,2.997596713512604,0.6045612736689294,False,True
llama3_8b,truthfulqa,V_pos_minus_V_neg,0.025,817,24,0.22031823745410037,8.712691396971438,0.8492424594262976,False,True
llama3_8b,truthfulqa,V_pos_minus_V_neg,0.05,817,12,0.44430844553243576,4.48696102146538,0.7081015567297737,True,True
llama3_8b,truthfulqa,V_pos_minus_V_neg,0.1,817,9,0.7294981640146879,2.36908853313172,0.434494051587367,False,True
mistral_7b,pavlick_nli,V_pos,0.025,496,17,0.1532258064516129,11.551556444678154,0.9025022762747139,False,True
mistral_7b,pavlick_nli,V_pos,0.05,496,9,0.2399193548387097,6.13089679122698,0.8188085327783559,True,True
mistral_7b,pavlick_nli,V_pos,0.1,496,6,0.4112903225806452,3.316749030584801,0.6643958116545264,False,True
mistral_7b,pavlick_nli,V_neg,0.025,496,13,0.15524193548387097,9.594613659965862,0.8856497138397502,False,True
mistral_7b,pavlick_nli,V_neg,0.05,496,7,0.3185483870967742,4.983153897118615,0.7795753121748179,True,True
mistral_7b,pavlick_nli,V_neg,0.1,496,4,0.48185483870967744,2.8742170529993074,0.6306825572320498,False,True
mistral_7b,pavlick_nli,V_pos_minus_V_neg,0.025,496,21,0.13709677419354838,14.191656689057996,0.91647697710718,False,True
mistral_7b,pavlick_nli,V_pos_minus_V_neg,0.05,496,11,0.2560483870967742,7.388410459230447,0.839986017169615,True,True
mistral_7b,pavlick_nli,V_pos_minus_V_neg,0.1,496,6,0.3528225806451613,4.106943030817147,0.7267819979188346,False,True
mistral_7b,truthfulqa,V_pos,0.025,817,18,0.1591187270501836,10.800875026675604,0.8930244543355771,False,True
mistral_7b,truthfulqa,V_pos,0.05,817,9,0.2864137086903305,5.551572993469603,0.7929868507196374,True,True
mistral_7b,truthfulqa,V_pos,0.1,817,5,0.5410036719706243,3.0025811664795112,0.6118632666605741,False,True
mistral_7b,truthfulqa,V_neg,0.025,817,18,0.14075887392900857,11.096064745030581,0.894873173939945,False,True
mistral_7b,truthfulqa,V_neg,0.05,817,10,0.26805385556915545,5.720790904124594,0.7968730570840868,True,True
mistral_7b,truthfulqa,V_neg,0.1,817,5,0.5055079559363526,3.0338079867992747,0.6141494466575479,False,True
mistral_7b,truthfulqa,V_pos_minus_V_neg,0.025,817,20,0.20195838433292534,9.421428643738539,0.865761083703252,False,True
mistral_7b,truthfulqa,V_pos_minus_V_neg,0.05,817,11,0.38555691554467564,4.891409758313021,0.7417410623995302,True,True
mistral_7b,truthfulqa,V_pos_minus_V_neg,0.1,817,6,0.6560587515299877,2.6163300826467353,0.5116578700173336,False,True
qwen2_5_7b,pavlick_nli,V_pos,0.025,496,19,0.2560483870967742,8.515315228665331,0.8353196540062435,False,True
qwen2_5_7b,pavlick_nli,V_pos,0.05,496,11,0.4576612903225806,4.765973353186285,0.7120106009365245,True,True
qwen2_5_7b,pavlick_nli,V_pos,0.1,496,6,0.4778225806451613,3.0513195511448465,0.6147323751300728,False,True
qwen2_5_7b,pavlick_nli,V_neg,0.025,496,22,0.31451612903225806,8.828877427464594,0.8210848074921956,False,True
qwen2_5_7b,pavlick_nli,V_neg,0.05,496,13,0.4959677419354839,5.311949193594306,0.706832075962539,True,True
qwen2_5_7b,pavlick_nli,V_neg,0.1,496,7,0.4576612903225806,3.59482637150727,0.6554451742976066,False,True
qwen2_5_7b,pavlick_nli,V_pos_minus_V_neg,0.025,496,33,0.15524193548387097,18.196126255416754,0.9215579474505723,False,True
qwen2_5_7b,pavlick_nli,V_pos_minus_V_neg,0.05,496,19,0.2842741935483871,9.626390833994494,0.8533428720083247,True,True
qwen2_5_7b,pavlick_nli,V_pos_minus_V_neg,0.1,496,10,0.47580645161290325,4.91368445402224,0.7128723335067637,False,True
qwen2_5_7b,truthfulqa,V_pos,0.025,817,35,0.47613219094247244,7.432345407966557,0.7245362844930778,False,True
qwen2_5_7b,truthfulqa,V_pos,0.05,817,19,0.6144430844553244,4.611909590047413,0.5944127918212885,True,True
qwen2_5_7b,truthfulqa,V_pos,0.1,817,10,0.7221542227662179,3.033751041832521,0.46241960541671845,False,True
qwen2_5_7b,truthfulqa,V_neg,0.025,817,37,0.3488372093023256,11.968909008615642,0.8310908494372191,False,True
qwen2_5_7b,truthfulqa,V_neg,0.05,817,19,0.4589963280293758,7.011920183463882,0.7437395972068453,True,True
qwen2_5_7b,truthfulqa,V_neg,0.1,817,10,0.5752753977968176,4.299745835227729,0.6292238523780916,False,True
qwen2_5_7b,truthfulqa,V_pos_minus_V_neg,0.025,817,73,0.3378212974296206,20.67408306471225,0.8624501677181197,False,True
qwen2_5_7b,truthfulqa,V_pos_minus_V_neg,0.05,817,37,0.43818849449204406,11.588393082951912,0.7869642795611613,True,True
qwen2_5_7b,truthfulqa,V_pos_minus_V_neg,0.1,817,19,0.5422276621787026,6.53281873305137,0.6843648359748251,False,True
