model,dataset,fold,margin_bin,margin_lo,margin_hi,n,n_excluded,sum_mean,sum_deviation_mean,sum_deviation_ci_low,sum_deviation_ci_high,sum_abs_deviation_mean,rho_pos_neg
llama3_8b,pavlick_nli,train,"low_[0,10)",0.0,10.0,53,443,1.1828695085813414,0.18286950858134143,0.17367254939844023,0.19194679521727112,0.18286950858134143,0.8526044186421545
llama3_8b,pavlick_nli,train,"mid_[10,25)",10.0,25.0,79,417,1.1889204835589928,0.1889204835589928,0.180706928066815,0.19684478176545495,0.1889204835589928,0.8393378773125609
llama3_8b,pavlick_nli,train,"high_[25,inf)",25.0,inf,166,330,1.18483145517039,0.18483145517039012,0.17933118128812459,0.19039242668862802,0.18483145517039012,0.894678988135449
mistral_7b,pavlick_nli,train,"low_[0,10)",0.0,10.0,53,443,1.0117279589176178,0.011727958917617798,-0.005980677593429133,0.02906669972921317,0.05496928095817566,-0.6394129979035639
mistral_7b,pavlick_nli,train,"mid_[10,25)",10.0,25.0,79,417,1.014920173189308,0.01492017318930807,0.00042048715337922305,0.030212929948598526,0.05694009420237964,-0.558666017526777
mistral_7b,pavlick_nli,train,"high_[25,inf)",25.0,inf,166,330,1.0203135394188294,0.020313539418829494,0.009667349229735065,0.031023457561092205,0.057516765881733725,-0.43586124574509255
qwen2_5_7b,pavlick_nli,train,"low_[0,10)",0.0,10.0,53,443,1.769814837653682,0.769814837653682,0.7350828524749233,0.8026659161695895,0.769814837653682,-0.28068053539751653
qwen2_5_7b,pavlick_nli,train,"mid_[10,25)",10.0,25.0,79,417,1.7686008426207531,0.768600842620753,0.7434574939782107,0.7945756599872927,0.768600842620753,-0.3554527750730283
qwen2_5_7b,pavlick_nli,train,"high_[25,inf)",25.0,inf,166,330,1.8634734914963504,0.8634734914963504,0.8432417638106159,0.880870136748775,0.8634734914963504,0.47568521226987437
