model,dataset,stratum,n_test_mean,delta_mean,delta_sd,AURC_sq_mean,AURC_report_mean,effective_bins,max_bin_mass,measurable,outcome
llama3_8b,pavlick_nli,"high_[.90,1]",198.0,-0.07463889098519715,0.005891905514134161,0.17239823324920536,0.2470371242344025,1.0676162390060882,0.9879032258064516,False,not_measurable
llama3_8b,pavlick_nli,"low_[0,.70)",0.0,,,,,,,False,not_measurable
llama3_8b,pavlick_nli,"mid_[.70,.90)",0.0,,,,,,,False,not_measurable
llama3_8b,truthfulqa,"high_[.90,1]",59.666666666666664,-0.052811438981612634,0.05188367810488913,0.45354016851589457,0.5063516074975072,4.080721482121692,0.4666666666666667,True,does_not_improve
llama3_8b,truthfulqa,"low_[0,.70)",9.333333333333334,-0.03751102292768963,0.29842694640367756,0.3871091871091871,0.4246202100368767,6.3745483761436015,0.41379310344827586,True,does_not_improve
llama3_8b,truthfulqa,"mid_[.70,.90)",257.0,-0.039028355948433645,0.02818356876937268,0.490543627885293,0.5295719838337266,4.378170758927402,0.44043887147335425,True,does_not_improve
mistral_7b,pavlick_nli,"high_[.90,1]",12.333333333333334,0.04181142931142932,0.03370005433287675,0.059226224528422335,0.01741479521699302,5.846624330049367,0.39285714285714285,True,improves
mistral_7b,pavlick_nli,"low_[0,.70)",0.0,,,,,,,False,not_measurable
mistral_7b,pavlick_nli,"mid_[.70,.90)",185.66666666666666,-0.0682083180040672,0.027422158933652643,0.10537198644128691,0.1735803044453541,7.352852294602494,0.24786324786324787,True,does_not_improve
mistral_7b,truthfulqa,"high_[.90,1]",0.0,,,,,,,False,not_measurable
mistral_7b,truthfulqa,"low_[0,.70)",292.3333333333333,-0.07075904954739576,0.013735267315999526,0.41984478956025434,0.4906038391076501,4.816962227823529,0.388283378746594,True,does_not_improve
mistral_7b,truthfulqa,"mid_[.70,.90)",33.666666666666664,0.049429279494670075,0.08799850669132259,0.31421864045210884,0.26478936095743877,5.018900941640792,0.3614457831325301,True,improves
qwen2_5_7b,pavlick_nli,"high_[.90,1]",198.0,-0.0065462511564078575,0.01524743429329334,0.050714748518027736,0.0572609996744356,9.626390833994494,0.2842741935483871,True,does_not_improve
qwen2_5_7b,pavlick_nli,"low_[0,.70)",0.0,,,,,,,False,not_measurable
qwen2_5_7b,pavlick_nli,"mid_[.70,.90)",0.0,,,,,,,False,not_measurable
qwen2_5_7b,truthfulqa,"high_[.90,1]",326.0,0.10883245938377184,0.04598161683717485,0.41423408489788116,0.3054016255141094,11.588393082951912,0.43818849449204406,True,improves
qwen2_5_7b,truthfulqa,"low_[0,.70)",0.0,,,,,,,False,not_measurable
qwen2_5_7b,truthfulqa,"mid_[.70,.90)",0.0,,,,,,,False,not_measurable
