model,dataset,seed,stratum,mass_lo,mass_hi,n_test,positive_rate,AURC_sq,AURC_report,delta,effective_bins,max_bin_mass,measurable
qwen2_5_7b,truthfulqa,2,"low_[0,.70)",0.0,0.7,0,,,,,,,False
qwen2_5_7b,truthfulqa,2,"mid_[.70,.90)",0.7,0.9,0,,,,,,,False
qwen2_5_7b,truthfulqa,2,"high_[.90,1]",0.9,inf,326,0.5030674846625767,0.37081989294121404,0.3144564900464808,0.05636340289473324,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,pavlick_nli,0,"low_[0,.70)",0.0,0.7,0,,,,,,,False
qwen2_5_7b,pavlick_nli,0,"mid_[.70,.90)",0.7,0.9,0,,,,,,,False
qwen2_5_7b,pavlick_nli,0,"high_[.90,1]",0.9,inf,198,0.8434343434343434,0.042455688969084894,0.04894299682181119,-0.006487307852726297,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,1,"low_[0,.70)",0.0,0.7,0,,,,,,,False
qwen2_5_7b,pavlick_nli,1,"mid_[.70,.90)",0.7,0.9,0,,,,,,,False
qwen2_5_7b,pavlick_nli,1,"high_[.90,1]",0.9,inf,198,0.8080808080808081,0.07021455925283282,0.061542933216331065,0.008671626036501755,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,2,"low_[0,.70)",0.0,0.7,0,,,,,,,False
qwen2_5_7b,pavlick_nli,2,"mid_[.70,.90)",0.7,0.9,0,,,,,,,False
qwen2_5_7b,pavlick_nli,2,"high_[.90,1]",0.9,inf,198,0.8383838383838383,0.03947399733216545,0.06129706898516444,-0.021823071652998988,9.626390833994494,0.2842741935483871,True
