model,dataset,alphabet,n_test_mean,delta_mean,delta_sd,AURC_sq_mean,AURC_report_mean,effective_bins,max_bin_mass,measurable,outcome
llama3_8b,pavlick_nli,digits101,198.0,-0.3782982911513261,0.049343868451608784,0.17239823324920533,0.5506965244005314,3.0266881841163458,0.4657258064516129,True,does_not_improve
llama3_8b,pavlick_nli,letter11,198.0,-0.0746342659805722,0.005898995732392346,0.17239823324920533,0.24703249922977752,1.0676162390060882,0.9879032258064516,False,not_measurable
llama3_8b,truthfulqa,digits101,326.0,0.0791710298861474,0.02309885660423858,0.48132582267350793,0.40215479278736055,28.4472744811115,0.08445532435740515,True,improves
llama3_8b,truthfulqa,letter11,326.0,-0.038368634783034074,0.023067159702061312,0.48132582267350793,0.519694457456542,4.48696102146538,0.44430844553243576,True,does_not_improve
