model,dataset,seed,metric,better,n_test,metric_sq,metric_report,delta,report_transform,effective_bins,max_bin_mass,measurable
llama3_8b,truthfulqa,0,AURC,lower,326,0.4820651053049443,0.5043109677210341,-0.022245862416089834,none,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,0,AUROC,higher,326,0.6240048989589713,0.5757424984690753,-0.04826240048989594,none,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,0,Brier,lower,326,0.24392774609466022,0.24778340492120096,-0.0038556588265407366,(gap+1)/2,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,1,AURC,lower,326,0.49554728966753836,0.5236160466491451,-0.028068756981606713,none,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,1,AUROC,higher,326,0.629881287097782,0.6233598875351453,-0.006521399562636754,none,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,1,Brier,lower,326,0.2330523309852714,0.24716721778596665,-0.014114886800695253,(gap+1)/2,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,2,AURC,lower,326,0.4663650730480416,0.5311563579994476,-0.06479128495140601,none,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,2,AUROC,higher,326,0.6642253301647901,0.6094900463594219,-0.054735283805368184,none,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,2,Brier,lower,326,0.22402776205809208,0.24673942683187988,-0.022711664773787804,(gap+1)/2,4.48696102146538,0.44430844553243576,True
llama3_8b,pavlick_nli,0,AURC,lower,198,0.16783540850597495,0.2364537007337363,-0.06861829222776136,none,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,0,AUROC,higher,198,0.8950546590317543,0.7793336803748048,-0.11572097865694952,none,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,0,Brier,lower,198,0.13459975100850874,0.24752584514946593,-0.1129260941409572,(gap+1)/2,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,1,AURC,lower,198,0.17566735721587878,0.2505726737599988,-0.07490531654412003,none,1.0676162390060882,0.9879032258064516,False
