model,dataset,seed,target,target_provenance,label_agreement,n_test,AURC_sq,AURC_report,delta,effective_bins,max_bin_mass,measurable
llama3_8b,truthfulqa,0,mean,cached,0.8653610771113831,326,0.4820651053049444,0.5043109677210341,-0.022245862416089723,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,1,mean,cached,0.8653610771113831,326,0.4955472896675379,0.5236160466491445,-0.028068756981606602,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,2,mean,cached,0.8653610771113831,326,0.4663650730480415,0.5311563579994474,-0.0647912849514059,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,0,sum,cached,0.8653610771113831,326,0.47731160550940194,0.4903005165925085,-0.012988911083106569,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,1,sum,cached,0.8653610771113831,326,0.5017057432963259,0.5401458909880488,-0.03844014769172288,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,2,sum,cached,0.8653610771113831,326,0.4770069342939753,0.5096793108614054,-0.032672376567430106,4.48696102146538,0.44430844553243576,True
llama3_8b,pavlick_nli,0,mean,cached,0.875,198,0.16783540850597495,0.23643982571986136,-0.06860441721388641,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,1,mean,cached,0.875,198,0.17566735721587876,0.2505726737599988,-0.07490531654412005,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,2,mean,cached,0.875,198,0.17369193402576233,0.25408499820947245,-0.08039306418371012,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,0,sum,cached,0.875,198,0.1191939036476319,0.10396257351874821,0.015231330128883683,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,1,sum,cached,0.875,198,0.14756710274574414,0.13144057458867991,0.016126528157064224,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,2,sum,cached,0.875,198,0.13658097767056873,0.15900385589189092,-0.02242287822132219,1.0676162390060882,0.9879032258064516,False
mistral_7b,truthfulqa,0,mean,cached,0.8506731946144431,326,0.42101118958080697,0.48081971510934474,-0.05980852552853777,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,1,mean,cached,0.8506731946144431,326,0.4090146258581201,0.4743903966914422,-0.06537577083332208,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,2,mean,cached,0.8506731946144431,326,0.3750433802409797,0.442235603285065,-0.06719222304408529,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,0,sum,cached,0.8506731946144431,326,0.44593240861067585,0.49812369504500537,-0.05219128643432952,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,1,sum,cached,0.8506731946144431,326,0.4352427806596568,0.47230870546250775,-0.037065924802850925,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,2,sum,cached,0.8506731946144431,326,0.43692413723243434,0.4708633294106654,-0.03393919217823105,4.891409758313021,0.38555691554467564,True
mistral_7b,pavlick_nli,0,mean,cached,0.8911290322580645,198,0.09757334751149181,0.18368858084976994,-0.08611523333827813,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,1,mean,cached,0.8911290322580645,198,0.11487158781799926,0.15336160302298163,-0.03849001520498237,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,2,mean,cached,0.8911290322580645,198,0.09188623510906328,0.13752808324789517,-0.04564184813883189,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,0,sum,cached,0.8911290322580645,198,0.08268390665060772,0.26808915291641455,-0.18540524626580684,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,1,sum,cached,0.8911290322580645,198,0.11323659456953368,0.2458140210847705,-0.1325774265152368,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,2,sum,cached,0.8911290322580645,198,0.07027240269909349,0.22916788296500815,-0.15889548026591466,7.388410459230447,0.2560483870967742,True
qwen2_5_7b,truthfulqa,0,mean,cached,0.8518971848225214,326,0.43204507546173415,0.2899383669353297,0.14210670852640445,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,1,mean,cached,0.8518971848225214,326,0.4398372862906951,0.31181001956051746,0.1280272667301776,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,2,mean,cached,0.8518971848225214,326,0.37081989294121404,0.3144564900464808,0.05636340289473324,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,0,sum,cached,0.8518971848225214,326,0.4554389023557583,0.3408222122281064,0.11461669012765191,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,1,sum,cached,0.8518971848225214,326,0.49882373649056816,0.3755967397893302,0.12322699670123793,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,2,sum,cached,0.8518971848225214,326,0.382498767349931,0.332872080292835,0.049626687057096,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,pavlick_nli,0,mean,cached,0.9717741935483871,198,0.042455688969084894,0.04894299682181119,-0.006487307852726297,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,1,mean,cached,0.9717741935483871,198,0.07021455925283282,0.061542933216331065,0.008671626036501755,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,2,mean,cached,0.9717741935483871,198,0.03947399733216545,0.06129706898516444,-0.021823071652998988,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,0,sum,cached,0.9717741935483871,198,0.04844358399844138,0.05381854341121572,-0.005374959412774341,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,1,sum,cached,0.9717741935483871,198,0.06497542984324782,0.05593950960307025,0.009035920240177568,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,2,sum,cached,0.9717741935483871,198,0.03735707285874757,0.05256980134577321,-0.015212728487025637,9.626390833994494,0.2842741935483871,True
