model,dataset,retained_overlap_fraction,retained_jaccard,forward_retained_risk,reverse_retained_risk,forward_aurc,reverse_aurc,positive_to_negative,negative_to_positive,sign_flip_fraction,retained_risk_reverse_minus_forward,forward_mass_pos_mean,forward_mass_neg_mean,reverse_mass_pos_mean,reverse_mass_neg_mean
llama3_8b,pavlick_nli,0.19166666666666665,0.10618046176602997,0.10833333333333334,0.4583333333333333,0.2470371242344025,0.38566931943178906,66.66666666666667,23.0,0.45286195286195285,0.35000000000000003,0.9422683769002909,0.9419425775105704,,
llama3_8b,truthfulqa,0.196969696969697,0.10960546970549749,0.5353535353535354,0.6010101010101011,0.5196944574565423,0.5758276029096447,91.0,63.0,0.4723926380368098,0.06565656565656568,0.8547809047811114,0.8657822934091701,,
mistral_7b,pavlick_nli,0.3333333333333333,0.20165945165945165,0.14166666666666666,0.15833333333333333,0.1581927557068822,0.19370831427169646,50.666666666666664,41.0,0.46296296296296297,0.016666666666666663,0.8598611250469581,0.8535285731558044,,
mistral_7b,truthfulqa,0.2272727272727273,0.1283714075165807,0.41414141414141414,0.5050505050505051,0.4658152383619509,0.4988162969487074,68.33333333333333,92.0,0.49182004089979553,0.09090909090909093,0.6111567599093256,0.6237951246202602,,
qwen2_5_7b,pavlick_nli,0.19999999999999998,0.11153406928054815,0.03333333333333333,0.15833333333333333,0.0572609996744356,0.1829522920915848,53.0,39.333333333333336,0.4663299663299663,0.125,0.9983309051805875,0.9983145271487509,,
qwen2_5_7b,truthfulqa,0.18686868686868685,0.10334110334110334,0.21212121212121213,0.47979797979797983,0.3054016255141094,0.500578802375724,113.33333333333333,59.666666666666664,0.5306748466257668,0.2676767676767677,0.9982490212273744,0.9975166441472761,,
