model,dataset,n_items,candidate_injective,Vpos_effective_bins_perm,gap_effective_bins_perm,Vpos_measurable_perm,gap_measurable_perm,rho_Vpos_v1_perm,rho_ci_lo,rho_ci_hi,rel_v1_spearman,n_reliability,value_tracking_threshold,well_below_threshold,verdict,gap_delta_mean,gap_delta_ci_lo,gap_delta_ci_hi
llama3_8b,truthfulqa,817,True,16.946566088089615,20.447616887933982,True,True,0.020345547616493112,-0.04845419144282959,0.09297697991539224,0.3510276121104485,500,0.26327070908283634,0.17551380605522424,legend-noninvariant,0.006750344998506224,-0.012944636199758277,0.02819919142122947
llama3_8b,pavlick_nli,496,True,15.114492710388559,8.554177210011332,True,True,-0.004208290024029318,-0.09299330710319101,0.08579457397713774,0.26817538998287815,496,0.20113154248715862,0.13408769499143908,legend-noninvariant,-0.010090223136508182,-0.024192491542424022,0.003989102982243727
mistral_7b,truthfulqa,817,True,14.780277094085026,20.807796982521953,True,True,-0.02610094673632406,-0.09523077004697428,0.04482306827998848,0.3653228372913491,500,0.27399212796851186,0.18266141864567456,legend-noninvariant,0.02127353293761939,0.0007000081187953083,0.0415945871596138
mistral_7b,pavlick_nli,496,True,14.200896844394357,11.162096754988264,True,True,0.05458818672485483,-0.03164324668863538,0.13759309058973798,0.8662845040076482,496,0.6497133780057361,0.4331422520038241,legend-noninvariant,-0.016995642438057748,-0.03782177740174736,0.003979730728563977
qwen2_5_7b,truthfulqa,817,True,17.730243097451872,32.20426013823484,True,True,0.06726231520221188,-0.006227869457329043,0.13380498218162465,0.4684008496033984,500,0.3513006372025488,0.2342004248016992,legend-noninvariant,-0.0542276600232792,-0.08729305709104059,-0.021292322456867317
qwen2_5_7b,pavlick_nli,496,True,14.261605471309036,12.039976437116719,True,True,-0.05398948205309481,-0.14450013721259702,0.03507046519051686,0.20748081880731203,496,0.15561061410548402,0.10374040940365602,legend-noninvariant,-0.01628588831046986,-0.04906175157288324,0.014547361558943121
