method,aurc,coverage_at_acc_80,coverage_at_acc_90,n,model_key,dataset,seed
phillips_sum,0.3012645041215558,0.4166666666666667,0.37033333333333335,12000,llama3_8b,halueval_qa,2
probe_amb_only,0.6476793578326051,0.0215,0.009666666666666667,12000,llama3_8b,halueval_qa,2
logprob,0.6633842656785549,0.0,0.0,12000,llama3_8b,halueval_qa,2
seq_entropy,0.6643512061194323,0.0,0.0,12000,llama3_8b,halueval_qa,2
probe_pred_only,0.34332630711838236,0.33228532128119476,0.24064976747232594,15267,llama3_8b,medqa,0
logit_pred,0.34332630711838236,0.33228532128119476,0.24064976747232594,15267,llama3_8b,medqa,0
logprob,0.35167233536286885,0.3165651404991157,0.21327045261020502,15267,llama3_8b,medqa,0
phillips_sum,0.48771803372951406,0.08122093404074147,0.018143708652649505,15267,llama3_8b,medqa,0
gap,0.5045765031819514,0.03864544442261086,0.004585052728106373,15267,llama3_8b,medqa,0
probe_amb_only,0.6479200266338687,0.0,0.0,15267,llama3_8b,medqa,0
probe_pred_only,0.3443259428168647,0.33117180847579747,0.2347546996790463,15267,llama3_8b,medqa,1
logit_pred,0.3443259428168647,0.33117180847579747,0.2347546996790463,15267,llama3_8b,medqa,1
logprob,0.3526498551801872,0.3115215824981987,0.21156743302547978,15267,llama3_8b,medqa,1
phillips_sum,0.49247752579649173,0.07467085871487522,0.015261675509268357,15267,llama3_8b,medqa,1
gap,0.503320383854799,0.03209536909674461,0.0008515097923626121,15267,llama3_8b,medqa,1
probe_amb_only,0.6545528937685392,0.0,0.0,15267,llama3_8b,medqa,1
probe_pred_only,0.34366244252304323,0.33123730922905614,0.23848824261479007,15267,llama3_8b,medqa,2
logit_pred,0.34366244252304323,0.33123730922905614,0.23848824261479007,15267,llama3_8b,medqa,2
logprob,0.3524100192678108,0.3115215824981987,0.21163293377873846,15267,llama3_8b,medqa,2
phillips_sum,0.49322547431663094,0.07467085871487522,0.017554201873321542,15267,llama3_8b,medqa,2
gap,0.5031440816259085,0.041985982838802643,0.011200628807231282,15267,llama3_8b,medqa,2
probe_amb_only,0.651677282640526,0.0,0.0,15267,llama3_8b,medqa,2
probe_pred_only,0.3683750812276601,0.2916666666666667,0.15456989247311828,744,llama3_8b,pavlick_nli,0
logit_pred,0.3683750812276601,0.2916666666666667,0.15456989247311828,744,llama3_8b,pavlick_nli,0
phillips_sum,0.3932509571873621,0.2553763440860215,0.1774193548387097,744,llama3_8b,pavlick_nli,0
gap,0.426358974938693,0.04032258064516129,0.0,744,llama3_8b,pavlick_nli,0
logprob,0.5337079546780945,0.033602150537634407,0.01881720430107527,744,llama3_8b,pavlick_nli,0
probe_amb_only,0.6714552868333998,0.0,0.0,744,llama3_8b,pavlick_nli,0
probe_pred_only,0.36142418291949047,0.31989247311827956,0.16532258064516128,744,llama3_8b,pavlick_nli,1
logit_pred,0.36142418291949047,0.31989247311827956,0.16532258064516128,744,llama3_8b,pavlick_nli,1
phillips_sum,0.38373233169402965,0.29301075268817206,0.1639784946236559,744,llama3_8b,pavlick_nli,1
gap,0.4232605770154443,0.08064516129032258,0.0,744,llama3_8b,pavlick_nli,1
logprob,0.5355511181464417,0.01747311827956989,0.016129032258064516,744,llama3_8b,pavlick_nli,1
probe_amb_only,0.6812626426170894,0.0,0.0,744,llama3_8b,pavlick_nli,1
probe_pred_only,0.3673321919637571,0.31048387096774194,0.18010752688172044,744,llama3_8b,pavlick_nli,2
logit_pred,0.3673321919637571,0.31048387096774194,0.18010752688172044,744,llama3_8b,pavlick_nli,2
phillips_sum,0.40023913046872145,0.25268817204301075,0.1693548387096774,744,llama3_8b,pavlick_nli,2
gap,0.4504942584213667,0.0,0.0,744,llama3_8b,pavlick_nli,2
logprob,0.5291536727551005,0.016129032258064516,0.01478494623655914,744,llama3_8b,pavlick_nli,2
probe_amb_only,0.6778451433842785,0.0,0.0,744,llama3_8b,pavlick_nli,2
probe_pred_only,0.3861620539819665,0.23377914332188687,0.14241821796493764,11066,llama3_8b,popqa,0
logit_pred,0.3861620539819665,0.23377914332188687,0.14241821796493764,11066,llama3_8b,popqa,0
phillips_sum,0.5105431202084216,0.05512380263871317,0.0036146755828664378,11066,llama3_8b,popqa,0
gap,0.5650797403934891,0.0094885234050244,0.003072474245436472,11066,llama3_8b,popqa,0
probe_amb_only,0.6204402417995436,0.0004518344478583047,0.0,11066,llama3_8b,popqa,0
seq_entropy,0.6669875860613231,9.036688957166094e-05,9.036688957166094e-05,11066,llama3_8b,popqa,0
logprob,0.6673402571093021,9.036688957166094e-05,9.036688957166094e-05,11066,llama3_8b,popqa,0
