model,token_mode,AURC_q,AURC_a,aurc_gap,aurc_gap_sd,I_answer_given_q,mean_minus_first_gap
llama3_8b,first,0.48132582267350804,0.4543154966565382,0.02701032601696986,0.015512165104491552,0.034389485583743884,0.11882078023337074
llama3_8b,mean,0.48132582267350804,0.33549471642316747,0.1458311062503406,0.00704017411542278,0.14855348115138314,0.11882078023337074
mistral_7b,first,0.4016897318933023,0.3930818059699812,0.008607925923321066,0.025019217358277966,0.031672721239579836,0.0951414078764985
mistral_7b,mean,0.4016897318933023,0.2979403980934827,0.10374933379981956,0.00699491838850872,0.09281034594473163,0.0951414078764985
qwen2_5_7b,first,0.41423408489788116,0.3511317186074086,0.06310236629047254,0.009943753672865891,0.073022724715384,0.09124966302722247
qwen2_5_7b,mean,0.41423408489788116,0.2598820555801862,0.154352029317695,0.017937879347044956,0.15355490142090827,0.09124966302722247
