model,token_mode,n,cos_dq_da,split_half_rq_mean,split_half_ra_mean,split_half_ceiling_mean,split_half_ceiling_p025,split_half_ceiling_p975,fraction_of_ceiling,permutation_null_p025,permutation_null_p975,permutation_p_two_sided
llama3_8b,first,817,0.2582051753997803,0.2806572072952986,0.6771179085969925,0.4339848421744743,0.2957640929642082,0.5124311392126046,0.5949635800781595,-0.10889684539288283,0.10486159101128574,0.000999000999000999
llama3_8b,mean,817,0.38364604115486145,0.2806572072952986,0.7063370442390442,0.4431992226076926,0.31603843812848303,0.5278402499236715,0.8656288675272656,-0.1381362345069647,0.13800480216741562,0.000999000999000999
mistral_7b,first,817,0.4188881814479828,0.5094504556059838,0.7124841427803039,0.6020138076485848,0.522727676768039,0.6639802593728446,0.6958115845949193,-0.151912697032094,0.15283098518848418,0.000999000999000999
mistral_7b,mean,817,0.5440273880958557,0.5094504556059838,0.78296271443367,0.631097424769025,0.5574939308723262,0.6915604233886509,0.8620339217751745,-0.2030373305082321,0.20615903735160826,0.000999000999000999
qwen2_5_7b,first,817,0.22851844131946564,0.4334531563520432,0.7102528697252274,0.5542627360174709,0.4543457763512993,0.6205460458971097,0.4122926303172265,-0.11895990483462811,0.11739973332732911,0.000999000999000999
qwen2_5_7b,mean,817,0.30086225271224976,0.4334531563520432,0.7632274371385575,0.5744965532898181,0.47469160491011236,0.6379735656203687,0.5236972284505123,-0.14365557245910168,0.1390700791031122,0.000999000999000999
